STNAM,LEANM,Math Sum Total,Math Sum Pct Prof,Math ECD Total,Math ECD Pct Prof,Math Pct ECD,Read Sum Total,Read Sum Pct Prof,Read ECD Total,Read ECD Pct Prof,Read Pct ECD,TotPop_x,KidPop_x,ChildPov_x,TotPop_y,KidPop_y,ChildPov_y
AL,Walker County,3739.0,41,2393.0,36,64.0,3733.0,44,2387.0,38,64.0,,,,,,
AL,Washington County,1427.0,36,858.0,29,60.0,1427.0,43,859.0,34,60.0,,,,,,
AL,Wilcox County,761.0,15,611.0,14,80.0,762.0,17,612.0,16,80.0,,,,,,
AL,Winfield City,647.0,58,304.0,47,47.0,648.0,53,305.0,39,47.0,,,,,,
AL,Winston County,1184.0,47,707.0,41,60.0,1184.0,46,707.0,39,60.0,,,,,,
AK,Lower Kuskokwim School District,2262.0,9,1904.0,7,84.0,2255.0,6,1902.0,3,84.0,"15,408","3,804","1,318","15,408","3,804","1,318"
AK,Lower Yukon School District,1056.0,LE1,1051.0,LE1,100.0,1065.0,3,1060.0,3,100.0,"6,720","1,918",771,"6,720","1,918",771
AK,Yupiit School District,226.0,LE1,34.0,LE10,15.0,232.0,LE1,36.0,LE10,16.0,"1,458",371,179,"1,458",371,179
AK,Kashunamiut School District,174.0,LE5,169.0,LE5,97.0,173.0,LE5,168.0,LE5,97.0,"1,042",306,130,"1,042",306,130
AK,Mount Edgecumbe High School Agency,111.0,30-34,72.0,20-24,65.0,111.0,20-24,72.0,15-19,65.0,,,,,,
AK,Aleutians East Borough School District,122.0,30-34,98.0,30-34,80.0,122.0,30-34,98.0,25-29,80.0,"3,401",182,23,"3,401",182,23
AK,Aleutian Region School District,12.0,LT50,8.0,LT50,67.0,12.0,LT50,8.0,LT50,67.0,617,28,4,617,28,4
AK,Bering Strait School District,978.0,9,833.0,8,85.0,978.0,7,833.0,6,85.0,"6,156","1,708",406,"6,156","1,708",406
AK,Bristol Bay Borough School District,55.0,20-29,32.0,20-29,58.0,53.0,20-29,32.0,11-19,60.0,788,112,12,788,112,12
AK,Alaska Gateway School District,180.0,10-14,159.0,10-14,88.0,179.0,10-14,158.0,15-19,88.0,"2,320",421,74,"2,320",421,74
AK,Cordova City School District,163.0,45-49,83.0,45-49,51.0,163.0,50-54,83.0,50-54,51.0,"2,153",341,17,"2,153",341,17
AK,Copper River School District,226.0,38,143.0,30-34,63.0,226.0,46,143.0,35-39,63.0,"2,794",538,74,"2,794",538,74
AK,Craig City School District,200.0,30-34,90.0,20-24,45.0,199.0,40-44,89.0,30-34,45.0,"1,197",215,28,"1,197",215,28
AK,Delta-Greely School District,422.0,55,174.0,45-49,41.0,422.0,51,174.0,35-39,41.0,,,,,,
AK,Dillingham City School District,239.0,31,188.0,25-29,79.0,239.0,31,188.0,25-29,79.0,"2,320",458,35,"2,320",458,35
AK,Galena City School District,790.0,34,392.0,25,50.0,805.0,59,402.0,54,50.0,427,99,17,427,99,17
AK,Ketchikan Gateway Borough School District,1172.0,44,483.0,32,41.0,1175.0,46,484.0,32,41.0,"13,747","2,169",182,"13,747","2,169",182
AK,Anchorage School District,23829.0,39,12772.0,26,54.0,23791.0,42,12728.0,28,53.0,"287,095","48,809","3,933","287,095","48,809","3,933"
AK,Juneau Borough School District,2458.0,40,833.0,21,34.0,2452.0,46,827.0,24,34.0,"31,849","4,904",454,"31,849","4,904",454
AK,Sitka School District,643.0,46,228.0,35-39,35.0,631.0,55,225.0,40-44,36.0,"8,405","1,288",84,"8,405","1,288",84
AK,Haines Borough School District,126.0,40-44,67.0,25-29,53.0,127.0,65-69,67.0,45-49,53.0,"2,614",342,58,"2,614",342,58
AK,Hoonah City School District,63.0,20-24,29.0,LE20,46.0,64.0,20-24,29.0,21-39,45.0,776,109,24,776,109,24
AK,Hydaburg City School District,43.0,11-19,29.0,LE20,67.0,43.0,11-19,29.0,LE20,67.0,375,64,18,375,64,18
AK,Kake City School District,56.0,30-39,47.0,30-39,84.0,56.0,50-59,47.0,50-59,84.0,555,88,15,555,88,15
AK,Kenai Peninsula Borough School District,4370.0,41,1765.0,30,40.0,4373.0,47,1766.0,36,40.0,"59,414","9,735","1,170","59,414","9,735","1,170"
AK,Klawock City School District,56.0,11-19,48.0,11-19,86.0,56.0,20-29,48.0,11-19,86.0,752,140,22,752,140,22
AK,Kodiak Island Borough School District,1143.0,40,594.0,32,52.0,1133.0,41,585.0,30,52.0,"12,992","2,297",156,"12,992","2,297",156
AK,Lake and Peninsula Borough School District,175.0,25-29,108.0,15-19,62.0,175.0,30-34,108.0,20-24,62.0,"1,493",297,66,"1,493",297,66
AK,Matanuska-Susitna Borough School District,8525.0,41,3844.0,32,45.0,8542.0,45,3852.0,35,45.0,"110,213","21,613","1,619","110,213","21,613","1,619"
AK,Iditarod Area School District,106.0,6-9,74.0,LE5,70.0,104.0,10-14,74.0,6-9,71.0,"1,009",216,58,"1,009",216,58
AK,Annette Island School District,168.0,25-29,84.0,10-14,50.0,168.0,25-29,84.0,25-29,50.0,"1,455",261,53,"1,455",261,53
AK,Nenana City School District,247.0,24,21.0,LE20,9.0,243.0,46,21.0,21-39,9.0,343,65,16,343,65,16
AK,Nome Public Schools,400.0,20,307.0,17,77.0,401.0,21,308.0,16,77.0,,,,,,
AK,Fairbanks North Star Borough School District,6898.0,39,2477.0,27,36.0,6858.0,42,2466.0,28,36.0,"95,651","15,841","1,202","95,651","15,841","1,202"
AK,North Slope Borough School District,1046.0,15,437.0,6,42.0,1065.0,12,448.0,7,42.0,"9,294","1,857",227,"9,294","1,857",227
AK,Northwest Arctic Borough School District,1100.0,11,831.0,8,76.0,1102.0,10,832.0,6,75.0,"7,644","1,980",454,"7,644","1,980",454
AK,Pelican City School District,8.0,LT50,3.0,PS,38.0,8.0,LT50,3.0,PS,38.0,90,11,2,90,11,2
AK,Petersburg Borough School District,241.0,56,141.0,45-49,59.0,241.0,69,141.0,60-64,59.0,"3,296",525,45,"3,296",525,45
AK,Pribilof School District,41.0,11-19,23.0,LE20,56.0,41.0,20-29,23.0,21-39,56.0,593,88,10,593,88,10
AK,Saint Mary's School District,109.0,20-24,107.0,20-24,98.0,109.0,10-14,107.0,10-14,98.0,,,,,,
AK,Skagway School District,65.0,75-79,5.0,PS,8.0,65.0,85-89,5.0,PS,8.0,"1,179",131,6,"1,179",131,6
AK,Southeast Island School District,111.0,30-34,76.0,25-29,68.0,111.0,50-54,76.0,45-49,68.0,"1,813",256,42,"1,813",256,42
AK,Southwest Region School District,336.0,9,239.0,6-9,71.0,337.0,6,239.0,LE5,71.0,"2,513",625,209,"2,513",625,209
AK,Tanana City School District,30.0,LE20,28.0,LE20,93.0,30.0,21-39,28.0,21-39,93.0,224,46,10,224,46,10
AK,Unalaska City School District,223.0,49,53.0,30-39,24.0,223.0,54,53.0,30-39,24.0,"4,470",376,15,"4,470",376,15
AK,Chatham School District,87.0,30-34,61.0,20-24,70.0,72.0,35-39,53.0,20-29,74.0,"1,275",168,36,"1,275",168,36
AK,Kuspuk School District,194.0,10-14,172.0,6-9,89.0,194.0,10-14,172.0,6-9,89.0,"1,523",346,116,"1,523",346,116
AK,Denali Borough School District,413.0,42,47.0,30-39,11.0,384.0,55,42.0,40-49,11.0,"2,081",269,17,"2,081",269,17
AK,Yukon Flats School District,123.0,6-9,72.0,LE5,59.0,125.0,10-14,73.0,10-14,58.0,"1,308",253,62,"1,308",253,62
AK,Valdez City School District,342.0,45,111.0,35-39,32.0,341.0,52,110.0,40-44,32.0,"3,824",628,42,"3,824",628,42
AK,Chugach School District,169.0,15-19,95.0,10-14,56.0,170.0,35-39,95.0,30-34,56.0,450,56,9,450,56,9
AK,Wrangell Public School District,149.0,55-59,78.0,50-54,52.0,149.0,50-54,78.0,40-44,52.0,,,,,,
AK,Yakutat School District,40.0,20-29,30.0,21-39,75.0,39.0,40-49,29.0,40-59,74.0,637,98,22,637,98,22
AK,Yukon-Koyukuk School District,668.0,20,391.0,15,59.0,684.0,31,401.0,25,59.0,"1,815",359,96,"1,815",359,96
AZ,Cave Creek Unified District (4244),2853.0,66,296.0,40-44,10.0,2858.0,67,297.0,40-44,10.0,,,,,,
AZ,Chino Valley Unified District (4474),1097.0,43,741.0,39,68.0,1096.0,48,740.0,43,68.0,,,,,,
AZ,Clarkdale-Jerome Elementary District (4486),337.0,45,140.0,30-34,42.0,335.0,59,138.0,45-49,41.0,,,,,,
AZ,Salome Consolidated Elementary District (4514),64.0,20-24,64.0,20-24,100.0,64.0,20-24,64.0,20-24,100.0,,,,,,
AZ,"Center for Academic Success, Inc. (4191)",688.0,41,622.0,41,90.0,684.0,43,619.0,45,90.0,,,,,,
AZ,"Pine Forest Education Association, Inc. (4201)",158.0,30-34,65.0,10-14,41.0,158.0,40-44,65.0,15-19,41.0,,,,,,
AZ,Flagstaff Arts And Leadership Academy (4202),178.0,30-34,,,,179.0,55-59,,,,,,,,,
AZ,"Flagstaff Montessori, L.L.C. (4205)",103.0,45-49,,,,103.0,60-64,,,,,,,,,
AZ,Colorado City Unified District (4370),289.0,53,119.0,50-54,41.0,292.0,49,121.0,45-49,41.0,,,,,,
AZ,Vernon Elementary District (4162),71.0,30-34,67.0,30-34,94.0,69.0,45-49,65.0,45-49,94.0,,,,,,
AZ,Pinon Unified District (4390),518.0,24,517.0,24,100.0,515.0,12,514.0,12,100.0,,,,,,
AZ,Heber-Overgaard Unified District (4392),250.0,57,135.0,55-59,54.0,251.0,46,136.0,40-44,54.0,,,,,,
AZ,Triumphant Learning Center (4225),61.0,30-34,31.0,11-19,51.0,61.0,50-54,31.0,30-39,51.0,,,,,,
AZ,"Ridgeline Academy, Inc. (4301)",403.0,67,54.0,50-59,13.0,401.0,68,54.0,40-49,13.0,,,,,,
AZ,Boys & Girls Clubs of the East Valley dba Mesa Art (4305),156.0,35-39,121.0,35-39,78.0,156.0,40-44,121.0,40-44,78.0,,,,,,
AZ,"Reid Traditional Schools' Valley Academy, Inc. (4306)",439.0,76,,,,439.0,79,,,,,,,,,
AZ,Foothills Academy (4309),170.0,55-59,,,,158.0,65-69,,,,,,,,,
AZ,"Twenty First Century Charter School, Inc. Bennett  (4310)",186.0,50-54,132.0,45-49,71.0,186.0,60-64,132.0,55-59,71.0,,,,,,
AZ,"STEP UP Schools, Inc. (4313)",32.0,20-29,30.0,LE20,94.0,32.0,11-19,30.0,LE20,94.0,,,,,,
AZ,Maricopa County Community College District dba Gat (4314),59.0,40-49,58.0,40-49,98.0,59.0,40-49,58.0,40-49,98.0,,,,,,
AZ,New School For The Arts (4316),46.0,50-59,,,,46.0,50-59,,,,,,,,,
AZ,Salt River Pima-Maricopa  Community Schools (4320),118.0,10-14,73.0,15-19,62.0,117.0,10-14,72.0,10-14,62.0,,,,,,
AZ,Espiritu Community Development Corp. (4335),168.0,25-29,,,,169.0,25-29,,,,,,,,,
AZ,"Heritage Academy, Inc. (4336)",376.0,51,,,,378.0,68,,,,,,,,,
AZ,Villa Montessori Charter School (4339),314.0,60,32.0,40-49,10.0,314.0,68,32.0,60-69,10.0,,,,,,
AZ,"EduPreneurship, Inc. (4341)",37.0,30-39,35.0,30-39,95.0,37.0,20-29,35.0,20-29,95.0,,,,,,
AZ,Arizona School For The Arts (4345),535.0,71,56.0,50-59,10.0,535.0,81,56.0,60-69,10.0,,,,,,
AZ,"Arizona Call-a-Teen Youth Resources, Inc. (4346)",14.0,LT50,11.0,LT50,79.0,15.0,LT50,12.0,LT50,80.0,,,,,,
AZ,"Intelli-School, Inc. (4352)",18.0,21-39,9.0,LT50,50.0,17.0,21-39,8.0,LT50,47.0,,,,,,
AZ,Benjamin Franklin Charter School - Queen Creek (4355),1646.0,67,,,,1645.0,62,,,,,,,,,
AZ,"Victory High School, Inc. (4358)",5.0,PS,5.0,PS,100.0,5.0,PS,5.0,PS,100.0,,,,,,
AZ,"Montessori Day Public Schools Chartered, Inc. (4359)",144.0,60-64,48.0,60-69,33.0,144.0,80-84,48.0,70-79,33.0,,,,,,
AZ,Khalsa Montessori Elementary Schools (4360),67.0,85-89,10.0,GE50,15.0,67.0,GE95,10.0,GE50,15.0,,,,,,
AZ,Tempe Preparatory Academy (4361),244.0,67,15.0,GE50,6.0,245.0,74,15.0,GE50,6.0,,,,,,
AZ,"Bright Beginnings School, Inc. (4362)",135.0,75-79,,,,135.0,90-94,,,,,,,,,
AZ,Montessori Education Centre Charter School (4363),183.0,70-74,43.0,70-79,23.0,183.0,90-94,43.0,GE90,23.0,,,,,,
AZ,Kingman Academy Of Learning (4383),733.0,55,218.0,45-49,30.0,742.0,59,220.0,50-54,30.0,,,,,,
AZ,Young Scholars Academy Charter School Corp. (4385),242.0,54,142.0,45-49,59.0,242.0,63,142.0,60-64,59.0,,,,,,
AZ,"Career Development, Inc. (4400)",11.0,LT50,,,,12.0,LT50,,,,,,,,,
AZ,"Edge School, Inc., The (4421)",35.0,11-19,23.0,LE20,66.0,38.0,20-29,27.0,21-39,71.0,,,,,,
AZ,Tucson Youth Development/ACE Charter High School (4422),69.0,10-14,17.0,LE20,25.0,72.0,15-19,18.0,LE20,25.0,,,,,,
AZ,Presidio School (4425),247.0,57,180.0,55-59,73.0,246.0,63,179.0,60-64,73.0,,,,,,
AZ,Colorado River Union High School District (4381),164.0,30-34,111.0,20-24,68.0,165.0,35-39,111.0,30-34,67.0,,,,,,
AZ,"Portable Practical Educational Preparation, Inc. ( (4431)",147.0,15-19,113.0,10-14,77.0,140.0,10-14,112.0,10-14,80.0,,,,,,
AZ,"Sedona Charter School, Inc. (4492)",54.0,40-49,25.0,LE20,46.0,53.0,50-59,24.0,21-39,45.0,,,,,,
AZ,Mingus Springs Charter School (4493),107.0,25-29,55.0,20-29,51.0,109.0,40-44,56.0,30-39,51.0,,,,,,
